company_name,model
Hero Electric,Hero Electric E-Sprint
Hero Electric,Hero Electric E2 Series
Hero Electric,Hero Electric E5 Series
Hero Electric,Hero Electric ER Series
Hero Electric,Hero Electric Maxi
Hero Electric,Hero Electric Optima
Hero Electric,Hero Electric Photon
Hero Electric,Hero Electric Wave
Hero Electric,Hero Electric Zion
Hero Electric,Hero Electric Advanta
Hero Electric,Hero Electric Dash
Hero Electric,Hero Electric Eazy
Hero Electric,Hero Electric Extra
Hero Electric,Hero Electric Flash
Hero Electric,Hero Electric Hi-Moto
Hero Electric,Hero Electric Velociti
Hero Electric,Hero Electric Zippy
Hero Honda,Hero Honda Achiever (2009)
Hero Honda,Hero Honda CBZ (2007)
Hero Honda,Hero Honda CBZ (2008)
Hero Honda,Hero Honda CBZ (2010)
Hero Honda,Hero Honda CD (2008)
Hero Honda,Hero Honda CD (2009)
Hero Honda,Hero Honda Glamour (2008)
Hero Honda,Hero Honda Hunk (2010)
Hero Honda,Hero Honda Karizma (2008)
Hero Honda,Hero Honda Passion (2010)
Hero Honda,Hero Honda Pleasure (2008)
Hero Honda,Hero Honda Splendor (2009)
Hi-Bird,Hi-Bird eScooter
Hollister,Hollister Custom Twin
Honda,Honda Activa
Honda,Honda Aviator
Honda,Honda Aviator
Honda,Honda CB Hornet
Honda,Honda CB Shine
Honda,Honda CB Shine SP
Honda,Honda CB Unicorn
Honda,Honda CB1000R
Honda,Honda CBR1000RR
Honda,Honda CBR650
Honda,Honda CD Dream
Honda,Honda CLIQ
Honda,Honda CRF
Honda,Honda Dio
Honda,Honda Dream Neo
Honda,Honda Dream Yuga
Honda,Honda Gold Wing
Honda,Honda Grazia
Honda,Honda Livo
Honda,Honda Navi
Honda,Honda SP125
Honda,Honda xBlade
Honda,Honda CB125
Honda,Honda CB150
Honda,Honda CB150R
Honda,Honda CB250R
Honda,Honda CB300
Honda,Honda CB400F
Honda,Honda CB400X
Honda,Honda CB500F
Honda,Honda CB500X
Honda,Honda CB650
Honda,Honda CBR150
Honda,Honda CBR250
Honda,Honda CBR300R
Honda,Honda CBR400R
Honda,Honda CBR500R
Honda,Honda CBR600
Honda,Honda Grom
Honda,Honda Interceptor
Honda,Honda Lead
Honda,Honda MSX
Honda,Honda NXR
Honda,Honda PCX
Honda,Honda RC
Honda,Honda Rebel
Honda,Honda Scoopy
Honda,Honda SFA
Honda,Honda XRE
Honda,Honda Activa (2008)
Honda,Honda Activa (2016)
Honda,Honda Activa (2017)
Honda,Honda Aviator (2010)
Honda,Honda CB Hornet (2017)
Honda,Honda CB Trigger
Honda,Honda CB Twister
Honda,Honda CBF Stunner
Honda,Honda CBF Stunner (2010)
Honda,Honda CBF Stunner PGM-Fi
Honda,Honda CBF150
Honda,Honda CBR1000RR (2010)
Honda,Honda CBR150R (2014)
Honda,Honda CBR250R (2014)
Honda,Honda CBR250R (2017)
Honda,Honda CBR600F
Honda,Honda CBX 250
Honda,Honda Dio (2010)
Honda,Honda Eterno
Honda,Honda Fury
Honda,Honda Gold Wing (2016)
Honda,Honda Shine
Honda,Honda Unicorn
Honda,Honda VFR1200F
Honda,Honda VTR 250
Honda,Honda CBR125
Honda,Honda Vision
Husqvarna,Husqvarna Nuda
Husqvarna,Husqvarna Svartpilen
Husqvarna,Husqvarna Vitpilen
Hyosung,Hyosung Aquila
Hyosung,Hyosung GT250
Hyosung,Hyosung GT650
Hyosung,Hyosung GD250
Hyosung,Hyosung GD450
Hyosung,Hyosung GT300
Hyosung,Hyosung Mirage
Hyosung,Hyosung RT125
Hyosung,Hyosung ST7
Hyosung,Hyosung GT125
Indian,Indian Chief Classic
Indian,Indian Chief Dark Horse
Indian,Indian Chief Vintage
Indian,Indian Chieftain
Indian,Indian Roadmaster
Indian,Indian Scout
Indian,Indian Springfield
Jawa,Jawa Forty Two
Jawa,Jawa Perak
Jawa,Jawa Standard
Jawa,Jawa 660
Jawa,Jawa Motorcycle (2019)
Kanda,Kanda Brave
Kanda,Kanda Lovely
Kanda,Kanda Mission
Kawasaki,Kawasaki KLX
Kawasaki,Kawasaki KX
Kawasaki,Kawasaki Ninja
Kawasaki,Kawasaki Ninja H2
Kawasaki,Kawasaki Ninja ZX
Kawasaki,Kawasaki Versys
Kawasaki,Kawasaki Vulcan
Kawasaki,Kawasaki Z
Kawasaki,Kawasaki Estrella
Kawasaki,Kawasaki Ninja RR
Kawasaki,Kawasaki W
Kawasaki,Kawasaki ER-6n
Kawasaki,Kawasaki Z (2016)
Keeway,Keeway Blackster
Keeway,Keeway Superlight
Kinetic,Kinetic 4S
Kinetic,Kinetic Aquila
Kinetic,Kinetic Blaze
Kinetic,Kinetic Boss
Kinetic,Kinetic Comet
Kinetic,Kinetic Flyte
Kinetic,Kinetic GF
Kinetic,Kinetic K4
Kinetic,Kinetic Kine
Kinetic,Kinetic Luna
Kinetic,Kinetic Nova
Kinetic,Kinetic Stryker
Kinetic,Kinetic SYM
Kinetic,Kinetic V2
Kinetic,Kinetic Velocity
Kinetic,Kinetic Zing
Komaki,Komaki Electric Scooter
Krisaki,Krisaki GP
Krisaki,Krisaki GPX
Krisaki,Krisaki Mint
Krisaki,Krisaki SX
Krisaki,Krisaki VIXA
Krisaki,Krisaki 800
Krisaki,Krisaki Binser
Krisaki,Krisaki Dico
Krisaki,Krisaki Leona
Krisaki,Krisaki Lion
Krisaki,Krisaki Power
Krisaki,Krisaki Strong
Krisaki,Krisaki Trex
KTM,KTM Duke
KTM,KTM RC
KTM,KTM Adventure
KTM,KTM Super Duke
KTM,KTM Adventure (2012)
KTM,KTM Duke (2012)
KTM,KTM Enduro (2012)
KTM,KTM MX (2012)
KTM,KTM Supermoto (2012)
Lambretta,Lambretta V-Special
Lectrix,Lectrix E-Bike
LML,LML Freedom
LML,LML NV
LML,LML Star
LML,LML CRD
LML,LML Freedom (2009)
LML,LML Graptor
LML,LML Select
Lohia,Lohia Fame
Lohia,Lohia Genius
Lohia,Lohia Oma
Mahindra,Mahindra Centuro
Mahindra,Mahindra Duro
Mahindra,Mahindra Gusto
Mahindra,Mahindra Mojo
Mahindra,Mahindra Rodeo
Mahindra,Mahindra Arro
Mahindra,Mahindra Flyte
Mahindra,Mahindra Kine
Mahindra,Mahindra Pantero
Mahindra,Mahindra Stallio
Mahindra,Mahindra Cevalo
Mahindra,Mahindra Diablo
Morello Yamasaki,Morello Yamasaki Doodle
Morello Yamasaki,Morello Yamasaki Punk
Morello Yamasaki,Morello Yamasaki Ripple
Moto Guzzi,Moto Guzzi 1200 Sport
Moto Guzzi,Moto Guzzi Audace
Moto Guzzi,Moto Guzzi Bellagio
Moto Guzzi,Moto Guzzi Griso
Moto Guzzi,Moto Guzzi MGX-21
Moto Guzzi,Moto Guzzi V9
Moto Guzzi,Moto Guzzi California
Moto Guzzi,Moto Guzzi V7 II
Moto Guzzi,Moto Guzzi Breva
Moto Guzzi,Moto Guzzi Griso (2011)
Moto Guzzi,Moto Guzzi V7 (2011)
Moto Morini,Moto Morini Vardenchi
Moto Morini,Moto Morini 11½
Moto Morini,Moto Morini Corsaro
Moto Morini,Moto Morini Granpasso
Moto Morini,Moto Morini Rebello
Moto Morini,Moto Morini Scrambler
Moto Morini,Moto Morini Lemoto
MV Agusta,MV Agusta Brutale
MV Agusta,MV Agusta F3
MV Agusta,MV Agusta F4
MV Agusta,MV Agusta Brutale (2010)
MV Agusta,MV Agusta F4 (2010)
MyEbike,MyEbike Classic
MyEbike,MyEbike Foton
MyEbike,MyEbike Sporty
Nascent,Nascent Hawk
Nascent,Nascent Rage
Nascent,Nascent Trump
Nascent,Nascent Vogue
Norton,Norton Commando
Norton,Norton Dominator
Okinawa,Okinawa Electric Scooter
Paradise,Paradise Classic Neo
Paradise,Paradise Foton
Paradise,Paradise Sporty
Petra,Petra Envo
Petra,Petra Krono
Petra,Petra Sprint
Peugeot,Peugeot Django
Peugeot,Peugeot Metropolis
Peugeot,Peugeot Satelis
Peugeot,Peugeot Speedfight
Piaggio,Piaggio Vespa
Piaggio,Piaggio Vespa SXL
Piaggio,Piaggio Vespa VXL
Piaggio,Piaggio Fly
Piaggio,Piaggio Liberty
Piaggio,Piaggio MP3
Piaggio,Piaggio Vespa GTS
Piaggio,Piaggio Vespa Primavera
Piaggio,Piaggio Vespa Sprint
Piaggio,Piaggio Vespa (2014)
Revolt,Revolt Electric Motorcycle
RK Motors,RK Motors Matrix
RK Motors,RK Motors Snappy
Royal Enfield,Royal Enfield Bullet
Royal Enfield,Royal Enfield Classic 350
Royal Enfield,Royal Enfield Classic 350
Royal Enfield,Royal Enfield Classic 350 S
Royal Enfield,Royal Enfield Continental GT
Royal Enfield,Royal Enfield Himalayan
Royal Enfield,Royal Enfield Interceptor
Royal Enfield,Royal Enfield Classic
Royal Enfield,Royal Enfield Concept KX
Royal Enfield,Royal Enfield Flying Flea
Royal Enfield,Royal Enfield Hunter
Royal Enfield,Royal Enfield Roadster
Royal Enfield,Royal Enfield Sherpa
Royal Enfield,Royal Enfield Thunderbird
Royal Enfield,Royal Enfield Bullet (2010)
Royal Enfield,Royal Enfield Bullet (2019)
Royal Enfield,Royal Enfield Bullet Electra
Royal Enfield,Royal Enfield Bullet Trials
Royal Enfield,Royal Enfield Classic (2017)
Royal Enfield,Royal Enfield Classic (2019)
Royal Enfield,Royal Enfield Classic 500
Royal Enfield,Royal Enfield Continental GT (2019)
Royal Enfield,Royal Enfield Electra (2010)
Royal Enfield,Royal Enfield Himalayan (2019)
Royal Enfield,Royal Enfield Machismo
Royal Enfield,Royal Enfield Thunderbird (2010)
Royal Enfield,Royal Enfield Thunderbird (2019)
Royal Enfield,Royal Enfield Thunderbird X
Royal Touch,Royal Touch Aurora
Royal Touch,Royal Touch Legend
Royal Touch,Royal Touch Prince
Royal Touch,Royal Touch Revival
Royal Touch,Royal Touch Roar
Royal Touch,Royal Touch Storm
Royal Touch,Royal Touch Vista
Sinic,Sinic 3000
Sinic,Sinic 4000
Sinic,Sinic 5000
Sree Aswini,Sree Aswini Mayee
Sree Aswini,Sree Aswini Sport
Suzuki,Suzuki Access
Suzuki,Suzuki Dirt Bike
Suzuki,Suzuki Gixxer
Suzuki,Suzuki Gixxer SF
Suzuki,Suzuki GSX-R
Suzuki,Suzuki GSX-S
Suzuki,Suzuki Hayabusa
Suzuki,Suzuki Hayate
Suzuki,Suzuki Intruder
Suzuki,Suzuki Let’s
Suzuki,Suzuki V-Strom
Suzuki,Suzuki B-King
Suzuki,Suzuki Burgman
Suzuki,Suzuki Gladius
Suzuki,Suzuki GSX
Suzuki,Suzuki GSX-F
Suzuki,Suzuki GZ
Suzuki,Suzuki Skydrive
Suzuki,Suzuki SV
Suzuki,Suzuki TU
Suzuki,Suzuki Access (2016)
Suzuki,Suzuki Bandit
Suzuki,Suzuki Gixxer (2016)
Suzuki,Suzuki GS150R
Suzuki,Suzuki Heat
Suzuki,Suzuki Inazuma
Suzuki,Suzuki Slingshot
Suzuki,Suzuki Slingshot (2010)
Suzuki,Suzuki Swish
Suzuki,Suzuki Zeus
Suzuki,Suzuki GSR
SWM,SWM Adventure
SWM,SWM Classic
Techno,Techno City Bike
Techno,Techno Scooter
Techo Electra,Techo Electra Electric Scooter
Techo Electra,Techo Electra Electric Scooter
Terra,Terra Kiwami
Terra,Terra e-Scooter
Tork,Tork T6X
Triumph,Triumph Bonneville
Triumph,Triumph Rocket III
Triumph,Triumph Speed Triple
Triumph,Triumph Street Triple
Triumph,Triumph Street Twin
Triumph,Triumph Thruxton
Triumph,Triumph Thunderbird
Triumph,Triumph Tiger
Triumph,Triumph America
Triumph,Triumph Scrambler
Triumph,Triumph Speed Twin
Triumph,Triumph Speedmaster
Triumph,Triumph Sprint
Triumph,Triumph Daytona
Triumph,Triumph Tiger (2014)
TVS,TVS Apache
TVS,TVS Jupiter
TVS,TVS Max
TVS,TVS Ntorq
TVS,TVS Phoenix
TVS,TVS Radeon
TVS,TVS Scooty
TVS,TVS Sport
TVS,TVS Star City
TVS,TVS Victor
TVS,TVS Wego
TVS,TVS XL
TVS,TVS Creon
TVS,TVS Dazz
TVS,TVS Entorq
TVS,TVS Graphite
TVS,TVS Neo
TVS,TVS Qube
TVS,TVS Rockz
TVS,TVS Tormax
TVS,TVS Zeppelin
TVS,TVS Apache (2017)
TVS,TVS Apache (2018)
TVS,TVS Centra
TVS,TVS Concept Bike
TVS,TVS Fiero
TVS,TVS Flame
TVS,TVS Flame (2010)
TVS,TVS Jive
TVS,TVS Max (2008)
TVS,TVS Samurai
TVS,TVS Scooty (2008)
TVS,TVS Scooty (2010)
TVS,TVS Shogun
TVS,TVS Spectra
TVS,TVS Star (2009)
TVS,TVS Star (2014)
TVS,TVS Super
TVS,TVS Victor (2007)
TVS,TVS Draken
TVS,TVS Velocity
Ultra Motors,Ultra Motors Fun
Ultra Motors,Ultra Motors Marathon
Ultra Motors,Ultra Motors Shakti
Ultra Motors,Ultra Motors Velo Plus
Ultra Motors,Ultra Motors Velociti
UM,UM Renegade
UM,UM Duramax
UM,UM Fastwind
UM,UM Flash
UM,UM Hypersport
UM,UM Nitrox
Vibgyor,Vibgyor Gallop
Vibgyor,Vibgyor Hunter
Vibgyor,Vibgyor Shark
Vibgyor,Vibgyor Vida
Victory,Victory Cross
Victory,Victory Hammer
Victory,Victory Kingpin
Victory,Victory Octane
Victory,Victory Vegas
Victory,Victory Vision
Vijaya,Vijaya Glide
Vijaya,Vijaya Grace
Vijaya,Vijaya Winnie
Vyrus,Vyrus 984
Vyrus,Vyrus 985
Vyrus,Vyrus 987
Walkman World,Walkman World Princy
Xite,Xite K100
Xite,Xite K101
Xite,Xite K102
Xite,Xite K103
Yamaha,Yamaha Alpha
Yamaha,Yamaha Fascino
Yamaha,Yamaha Fazer
Yamaha,Yamaha FZ
Yamaha,Yamaha MT
Yamaha,Yamaha R1
Yamaha,Yamaha R15
Yamaha,Yamaha Ray
Yamaha,Yamaha Saluto
Yamaha,Yamaha SZ
Yamaha,Yamaha VMAX
Yamaha,Yamaha Aerox
Yamaha,Yamaha Delight
Yamaha,Yamaha Diversion
Yamaha,Yamaha FJ
Yamaha,Yamaha Lander
Yamaha,Yamaha M-SLAZ
Yamaha,Yamaha NIKEN
Yamaha,Yamaha NMAX
Yamaha,Yamaha R125
Yamaha,Yamaha R25
Yamaha,Yamaha R3
Yamaha,Yamaha R6
Yamaha,Yamaha SCR
Yamaha,Yamaha SMAX
Yamaha,Yamaha SR400
Yamaha,Yamaha Tenere
Yamaha,Yamaha Tracer
Yamaha,Yamaha Xabre
Yamaha,Yamaha XSR
Yamaha,Yamaha Alba
Yamaha,Yamaha Crux
Yamaha,Yamaha Crux (2010)
Yamaha,Yamaha Enticer
Yamaha,Yamaha Fazer (2008)
Yamaha,Yamaha Fazer (2010)
Yamaha,Yamaha Fazer (2018)
Yamaha,Yamaha FZ (2010)
Yamaha,Yamaha FZ (2013)
Yamaha,Yamaha FZ (2018)
Yamaha,Yamaha G5
Yamaha,Yamaha Gladiator
Yamaha,Yamaha Libero
Yamaha,Yamaha R1 (2010)
Yamaha,Yamaha R1 (2011)
Yamaha,Yamaha R1 (2014)
Yamaha,Yamaha R1 (2016)
Yamaha,Yamaha R15 (2012)
Yamaha,Yamaha R15 (2016)
Yamaha,Yamaha R15 (2019)
Yamaha,Yamaha R15 (OLD)
Yamaha,Yamaha R3 (2019)
Yamaha,Yamaha RD
Yamaha,Yamaha RX
Yamaha,Yamaha SS
Yamaha,Yamaha SZ (2012)
Yamaha,Yamaha YBR
Yamaha,Yamaha YBX
Yamaha,Yamaha BW
Yamaha,Yamaha Jog
Yamaha,Yamaha Majesty
Yamaha,Yamaha Mio
Yamaha,Yamaha Neo
Yamaha,Yamaha Nouvo
Yamaha,Yamaha R50
Yamaha,Yamaha Scorpio
Yamaha,Yamaha X-City
Yamaha,Yamaha X-Max
Yamaha,Yamaha Xeon
Yash,Yash Acute
Yash,Yash Docile
Yash,Yash Pretty
Yash,Yash Whiz
Yezdi,Yezdi Classic
Yezdi,Yezdi Roadking
YObykes,YObykes Yo Electron
YObykes,YObykes Yo EXL
YObykes,YObykes Yo Style
YObykes,YObykes Yo Smart
YObykes,YObykes Yo Speed
YObykes,YObykes Yo Spin
YObykes,YObykes Yo Teen
YObykes,YObykes Yo Trend
YObykes,YObykes Yo Trust
YObykes,YObykes Yo Tuff
YObykes,YObykes Yo Xplor
Youth,Youth E-Coupe
Youth,Youth E-Trendy
Yukie,Yukie Electric Scooter
